1577189774,Hugs,0,0,0,233
1577190002,F%C3%BCrstVelten,2314,6,44387,135
1577191248,Lorena3,399,1,840,189
1577192950,Dr4m4,643,407,4065027,1
1577193641,Lady+Cleo,31,17,166419,128
1577195219,llllllllilililiilllllill,733,268,2700047,32
1577195705,Schokokuss,4,201,1917231,70
1577195777,Eclair,4,136,1325345,88
1577195851,Vermicelles,733,6,66135,133
1577195942,Oxiro,643,273,2906418,21
1577196399,Stempa20,4,150,1609274,80
1577197167,ToStrikeBack,643,172,1712398,76
1577197349,d0ppelkeks,733,212,2126024,53
1577197647,hardknorr,643,141,1478491,84
1577197760,Linn214,643,188,1968619,68
1577197792,Kine84,0,1,84,214
1577197817,iliiiilliilliiililiillil,733,120,1228918,90
1577198203,OBiOnEX,882,204,2009972,67
1577198350,Paul+der+3.,4,139,1361811,87
1577199768,Orgasmusmensch,643,378,3736582,2
1577200265,DaJuWi,0,1,5377,154
1577201614,GreeceMousse,4,61,605876,109
1577204072,bigal5845,2010,33,308332,121
1577204751,NurzurInfo,4,61,690566,104
1577205847,HustleStyler,4,61,638881,107
1577206444,Mennyy,0,1,631,195
1577209100,XBj%C3%B6rnEisenseiteX,4,11,110566,130
1577209441,simbl,0,1,818,190
1577212881,Patzz,0,0,0,234
1577213636,Vachette,0,0,0,235
1577221475,Wimtee,0,1,153,213
1577228758,ag4ux32,1836,3,17058,140
1577230421,Zigeunerbaronin,0,1,2430,171
